CSE,ECE,CIVIL,MECH,AGRI
XYZ4669,XYZ3636,XYZ1801,XYZ2174,XYZ1307
XYZ3183,XYZ2230,XYZ0112,XYZ3993,XYZ0041
XYZ1055,XYZ1107,XYZ3542,XYZ1117,XYZ1946
XYZ3279,XYZ3651,XYZ1094,XYZ1149,XYZ1649
XYZ4717,XYZ3526,XYZ2894,XYZ4517,XYZ1138
XYZ1096,XYZ4414,XYZ3743,XYZ0716,XYZ3898
XYZ3748,XYZ0557,XYZ0997,XYZ4113,XYZ2751
XYZ3829,XYZ0448,XYZ3798,XYZ2720,XYZ4892
XYZ1018,XYZ0808,XYZ2450,XYZ1663,XYZ1026
XYZ3629,XYZ2152,XYZ4954,XYZ1051,XYZ4904
XYZ2593,XYZ1485,XYZ2199,XYZ0063,XYZ2697
XYZ0608,XYZ2710,XYZ0361,XYZ1981,XYZ1437
XYZ2759,XYZ0544,XYZ1317,XYZ1796,XYZ3739
XYZ0174,XYZ2584,XYZ2574,XYZ3359,XYZ0722
XYZ2626,XYZ0210,XYZ0222,XYZ2038,XYZ1211
XYZ0318,XYZ0799,XYZ3141,XYZ4014,XYZ2140
XYZ3702,XYZ2487,XYZ2093,XYZ0828,XYZ1669
XYZ3719,XYZ2666,XYZ3237,XYZ1406,XYZ4167
XYZ0750,XYZ2997,XYZ0604,XYZ4349,XYZ4800
XYZ1756,XYZ1500,XYZ1289,XYZ0566,XYZ1970
XYZ4885,XYZ3184,XYZ2322,XYZ0259,XYZ2411
XYZ4673,XYZ0248,XYZ4464,XYZ2998,XYZ0954
XYZ2662,XYZ2362,XYZ2686,XYZ4855,XYZ4608
XYZ0959,XYZ1756,XYZ3240,XYZ1604,XYZ3034
XYZ4853,XYZ2373,XYZ0747,XYZ4220,XYZ4826
XYZ3683,XYZ0620,XYZ1258,XYZ4751,XYZ3528
XYZ4835,XYZ4907,XYZ4336,XYZ3258,XYZ4815
XYZ0542,XYZ1524,XYZ1337,XYZ3003,XYZ4974
XYZ4712,XYZ4004,XYZ3431,XYZ1610,XYZ2870
XYZ0011,XYZ4302,XYZ0658,XYZ4319,XYZ0267
XYZ0358,XYZ4970,XYZ2254,XYZ3174,XYZ3994
XYZ4419,XYZ4853,XYZ4052,XYZ4119,XYZ0601
XYZ4013,XYZ3934,XYZ4044,XYZ0630,XYZ4079
XYZ2554,XYZ0538,XYZ2443,XYZ0431,XYZ0263
XYZ2744,XYZ4879,XYZ2698,XYZ1317,XYZ0849
XYZ3471,XYZ3551,XYZ2383,XYZ0882,XYZ0884
XYZ4156,XYZ1096,XYZ1025,XYZ1252,XYZ4195
XYZ4865,XYZ3896,XYZ3028,XYZ0878,XYZ0349
XYZ2797,XYZ0089,XYZ0177,XYZ1909,XYZ3238
XYZ4572,XYZ3349,XYZ3697,XYZ4575,XYZ1706
XYZ0258,XYZ4000,XYZ2200,XYZ4341,XYZ0341
XYZ0319,XYZ4261,XYZ2768,XYZ1826,XYZ2952
XYZ4072,XYZ3585,XYZ4165,XYZ4964,
XYZ0174,XYZ4911,XYZ2437,XYZ3763,
XYZ4425,XYZ1899,XYZ2115,XYZ1872,
XYZ2826,XYZ4895,XYZ4050,XYZ0597,
XYZ3028,XYZ1341,XYZ2653,XYZ1719,
XYZ3917,XYZ2217,XYZ4047,XYZ2726,
XYZ2128,XYZ1440,XYZ3351,XYZ1541,
XYZ3657,XYZ0452,XYZ0337,XYZ1101,
XYZ3738,,XYZ1057,XYZ4413,
XYZ0964,,XYZ2871,XYZ1854,
XYZ1536,,XYZ2535,XYZ4527,
XYZ3255,,XYZ1860,XYZ4589,
XYZ0004,,XYZ3910,XYZ2745,
XYZ4171,,XYZ3455,XYZ0664,
XYZ2459,,XYZ4632,XYZ1223,
XYZ3136,,XYZ0154,XYZ2560,
XYZ4391,,XYZ3389,XYZ1252,
XYZ0195,,XYZ0292,XYZ1365,
XYZ1882,,XYZ4822,XYZ4902,
XYZ3854,,XYZ1634,XYZ0635,
XYZ3866,,XYZ0372,XYZ1631,
XYZ4191,,XYZ3927,XYZ0676,
XYZ3311,,XYZ2067,XYZ2811,
XYZ4000,,XYZ4753,XYZ0158,
XYZ0025,,XYZ2954,XYZ1319,
XYZ4628,,XYZ3711,XYZ3272,
XYZ3517,,,XYZ3657,
XYZ0323,,,XYZ0267,
XYZ3327,,,XYZ3546,
XYZ0320,,,XYZ3794,
XYZ4392,,,XYZ3831,
XYZ1648,,,XYZ0118,
XYZ4851,,,XYZ1610,
XYZ3544,,,XYZ1705,
XYZ0993,,,XYZ4566,
XYZ3127,,,XYZ0774,
XYZ2916,,,XYZ1060,
XYZ3031,,,XYZ4880,
XYZ1079,,,XYZ1661,
XYZ3446,,,XYZ1211,
XYZ2467,,,,
XYZ1006,,,,
XYZ2116,,,,
XYZ1174,,,,
XYZ4241,,,,
XYZ4999,,,,
XYZ0639,,,,
XYZ1837,,,,
XYZ0533,,,,
XYZ2723,,,,
XYZ0542,,,,
XYZ2192,,,,
XYZ1420,,,,
XYZ4173,,,,
XYZ2372,,,,
XYZ0453,,,,
XYZ1886,,,,
XYZ0839,,,,
