CSE,ECE,CIVIL,MECH,AGRI
XYZ0681,,XYZ1462,XYZ2988,XYZ2399
XYZ2060,,XYZ3452,XYZ4028,XYZ3554
XYZ4152,,XYZ1008,XYZ2354,XYZ2863
XYZ0006,,XYZ4138,XYZ4153,XYZ1481
XYZ1981,,XYZ2909,XYZ2220,XYZ1919
XYZ4806,,XYZ2956,XYZ2471,XYZ4045
XYZ0348,,XYZ4360,XYZ4152,XYZ1866
XYZ2781,,XYZ1220,XYZ1677,XYZ4900
XYZ0725,,XYZ1383,XYZ2873,XYZ2652
XYZ2736,,XYZ0823,XYZ4440,XYZ3291
XYZ1158,,XYZ0783,XYZ2130,XYZ0412
XYZ1704,,XYZ4059,XYZ2437,XYZ4302
XYZ0845,,XYZ4678,XYZ0649,XYZ0492
XYZ4002,,XYZ1493,XYZ1964,XYZ2099
XYZ2361,,XYZ2677,XYZ2512,XYZ2028
XYZ2747,,XYZ0863,XYZ1038,XYZ0026
XYZ0042,,XYZ4378,XYZ1623,XYZ2599
XYZ0029,,XYZ3778,XYZ4296,XYZ1123
XYZ4019,,XYZ3542,XYZ2586,XYZ1045
XYZ2485,,XYZ1206,XYZ0917,XYZ3403
XYZ3553,,XYZ3081,XYZ2797,XYZ1434
XYZ0691,,XYZ4185,XYZ4399,XYZ2267
XYZ1904,,XYZ2837,XYZ0065,XYZ0059
XYZ1955,,XYZ3021,XYZ2878,XYZ3938
XYZ0720,,XYZ1021,XYZ1797,XYZ1351
XYZ4153,,XYZ0018,XYZ4194,XYZ3738
XYZ2840,,XYZ0288,XYZ4097,XYZ0482
XYZ4823,,XYZ1097,XYZ0753,XYZ2295
XYZ0200,,XYZ0280,XYZ2393,XYZ1322
XYZ0261,,XYZ1746,XYZ4659,XYZ4191
XYZ1641,,XYZ1991,XYZ2869,XYZ0384
XYZ4501,,XYZ4591,XYZ1081,XYZ1950
XYZ2838,,XYZ1193,XYZ1664,XYZ3340
XYZ3399,,XYZ2923,XYZ0548,XYZ1427
XYZ0419,,XYZ0152,XYZ4935,XYZ1463
XYZ2009,,XYZ2517,XYZ2990,XYZ0515
XYZ2809,,XYZ4450,XYZ3089,XYZ4230
XYZ3131,,XYZ2192,XYZ3039,XYZ1493
XYZ1289,,XYZ4185,XYZ0941,XYZ0574
XYZ2750,,XYZ4326,XYZ2900,XYZ1059
XYZ2797,,XYZ3776,XYZ1187,XYZ0063
XYZ4295,,XYZ2741,XYZ0812,XYZ0637
XYZ3617,,XYZ1009,XYZ0772,XYZ4785
XYZ4685,,XYZ2613,XYZ3858,XYZ3751
XYZ4496,,XYZ1814,XYZ2137,XYZ0937
XYZ2322,,XYZ4705,XYZ2996,XYZ2357
XYZ3626,,XYZ2638,XYZ0890,XYZ4715
XYZ4310,,XYZ1829,XYZ4936,XYZ4865
XYZ3698,,XYZ0911,XYZ3368,XYZ0674
XYZ0420,,XYZ3242,XYZ2130,XYZ3728
XYZ0111,,XYZ1810,,
XYZ1924,,XYZ1129,,
XYZ0655,,XYZ1333,,
XYZ0681,,XYZ2287,,
XYZ3172,,XYZ0232,,
XYZ3289,,XYZ4960,,
XYZ0287,,XYZ3279,,
XYZ1069,,XYZ1356,,
XYZ1373,,XYZ3686,,
XYZ3364,,,,
XYZ0358,,,,
XYZ2132,,,,
XYZ1032,,,,
XYZ2873,,,,
XYZ2764,,,,
XYZ0630,,,,
XYZ2108,,,,
XYZ3069,,,,
XYZ0351,,,,
XYZ1487,,,,
XYZ4990,,,,
XYZ1712,,,,
XYZ1793,,,,
XYZ4455,,,,
XYZ2915,,,,
XYZ4168,,,,
XYZ4178,,,,
XYZ4458,,,,
XYZ1517,,,,
XYZ1121,,,,
XYZ4939,,,,
XYZ0109,,,,
XYZ0250,,,,
XYZ2970,,,,
XYZ1201,,,,
XYZ4773,,,,
XYZ1137,,,,
XYZ2060,,,,
XYZ0533,,,,
XYZ0890,,,,
XYZ1211,,,,
XYZ3610,,,,
XYZ3775,,,,
XYZ4474,,,,
XYZ4251,,,,
XYZ3582,,,,
XYZ2913,,,,
XYZ3548,,,,
XYZ4887,,,,
XYZ0120,,,,
