CSE,ECE,CIVIL,MECH,AGRI
XYZ3028,XYZ1430,XYZ4373,XYZ3214,XYZ3134
XYZ2959,XYZ4556,XYZ1058,XYZ3626,XYZ2377
XYZ1793,XYZ3242,XYZ2087,XYZ4093,XYZ2373
XYZ3402,XYZ0521,XYZ3954,XYZ1011,XYZ4686
XYZ0274,XYZ4602,XYZ0740,XYZ1030,XYZ1680
XYZ2097,XYZ4523,XYZ1956,XYZ2507,XYZ0622
XYZ3639,XYZ1950,XYZ0787,XYZ1987,XYZ4301
XYZ4069,XYZ3326,XYZ1424,XYZ4944,XYZ4378
XYZ4834,XYZ4410,XYZ0752,XYZ1295,XYZ4647
XYZ0477,XYZ4319,XYZ0896,XYZ4512,XYZ4280
XYZ3574,XYZ4877,XYZ4445,XYZ3811,XYZ2827
XYZ2589,XYZ1380,XYZ4583,XYZ1774,XYZ0350
XYZ2459,XYZ4209,XYZ3698,XYZ1413,XYZ3746
XYZ1219,XYZ0412,XYZ4242,XYZ0115,XYZ1463
XYZ0427,XYZ4738,XYZ2683,XYZ2434,XYZ3070
XYZ2441,XYZ1639,XYZ3603,XYZ4543,XYZ4438
XYZ4838,XYZ0240,XYZ4487,XYZ0706,XYZ3672
XYZ3583,XYZ1320,XYZ0540,XYZ3541,XYZ3934
XYZ0464,XYZ1646,XYZ2771,XYZ1865,XYZ4645
XYZ0343,XYZ2585,XYZ3658,XYZ1750,XYZ0064
XYZ4339,XYZ0790,XYZ2174,XYZ5001,XYZ4770
XYZ3458,XYZ2663,XYZ4916,XYZ4545,XYZ2740
XYZ2802,XYZ1133,XYZ4119,XYZ4455,XYZ2151
XYZ3116,XYZ3532,XYZ3371,XYZ2655,XYZ2024
XYZ0868,XYZ1893,XYZ3184,XYZ3645,XYZ3927
XYZ0579,XYZ2512,XYZ0413,XYZ2401,XYZ2601
XYZ4668,XYZ0839,XYZ4367,XYZ2635,XYZ4603
XYZ0206,XYZ0268,XYZ2116,XYZ0301,XYZ2252
XYZ3492,XYZ2619,XYZ1752,XYZ3015,XYZ3412
XYZ1239,XYZ3127,XYZ0024,XYZ3884,XYZ2012
XYZ3486,XYZ3477,XYZ3719,XYZ1015,XYZ4292
XYZ3484,XYZ4907,XYZ3472,XYZ2820,XYZ3368
XYZ2089,XYZ0694,XYZ2021,XYZ4977,XYZ4015
XYZ1169,XYZ1836,XYZ1929,XYZ1435,XYZ4675
XYZ4208,XYZ0634,XYZ2649,XYZ1740,XYZ3498
