CSE,ECE,CIVIL,MECH,AGRI
XYZ3740,XYZ4963,XYZ0924,XYZ1085,XYZ1940
XYZ2022,XYZ4339,XYZ3179,XYZ2132,XYZ3400
XYZ1008,XYZ4886,XYZ0012,XYZ1992,XYZ0436
XYZ0573,XYZ0005,XYZ3877,XYZ4855,XYZ0513
XYZ1225,XYZ1322,XYZ3530,XYZ1454,XYZ2788
XYZ3891,XYZ0234,XYZ3402,XYZ2331,XYZ1781
XYZ3356,XYZ0674,XYZ3669,XYZ0064,XYZ3256
XYZ4481,XYZ4601,XYZ3697,XYZ0610,XYZ1061
XYZ4033,XYZ4384,XYZ3914,XYZ1032,XYZ2432
XYZ4201,XYZ0572,XYZ2397,XYZ4364,XYZ4735
XYZ4838,XYZ3717,XYZ0267,XYZ4682,XYZ1578
XYZ3497,XYZ3122,XYZ4945,XYZ4350,XYZ0946
XYZ1854,XYZ4752,XYZ0590,XYZ1739,XYZ0307
XYZ0569,XYZ3611,XYZ4873,XYZ1907,XYZ3636
XYZ3965,XYZ3478,XYZ4749,XYZ1134,XYZ4119
XYZ2096,XYZ0267,XYZ0711,XYZ1317,XYZ1784
XYZ0451,XYZ1475,XYZ4187,XYZ1510,XYZ1330
XYZ2074,XYZ1890,XYZ2527,XYZ0005,XYZ1958
XYZ2173,XYZ0989,XYZ0874,XYZ4046,XYZ3956
XYZ0471,XYZ3897,XYZ4723,XYZ1709,XYZ2722
XYZ3560,XYZ4713,XYZ0378,XYZ2563,XYZ3129
XYZ3819,XYZ2241,XYZ4724,XYZ0329,XYZ1562
XYZ1306,XYZ4793,XYZ1314,XYZ4685,XYZ0215
XYZ4127,XYZ4908,XYZ0821,XYZ4594,XYZ1994
XYZ2011,XYZ0758,XYZ0776,XYZ0079,XYZ1039
XYZ3622,XYZ3419,XYZ4216,XYZ4882,XYZ1409
XYZ1103,XYZ3195,XYZ2249,XYZ2663,XYZ2889
XYZ2903,XYZ2846,XYZ1971,XYZ2901,XYZ2090
XYZ3927,XYZ2746,XYZ4376,XYZ3959,XYZ1530
XYZ2189,XYZ3573,XYZ1991,XYZ2672,XYZ1589
XYZ3552,XYZ3692,XYZ0890,XYZ0193,XYZ1708
XYZ0356,XYZ0969,XYZ1338,XYZ3077,XYZ4141
XYZ4979,XYZ4868,XYZ3920,XYZ2546,XYZ1735
XYZ0946,XYZ0446,XYZ2512,XYZ3277,XYZ3271
XYZ2543,XYZ1312,XYZ3842,XYZ4848,XYZ4061
XYZ2509,XYZ4778,XYZ2909,XYZ1690,XYZ3459
XYZ3789,XYZ1547,XYZ3579,XYZ4206,XYZ1548
XYZ0199,XYZ2747,XYZ4815,XYZ0829,XYZ2003
XYZ2619,XYZ0505,XYZ0911,XYZ0182,XYZ1199
XYZ4329,XYZ3131,XYZ0590,XYZ1909,XYZ0657
XYZ2055,XYZ0953,XYZ3793,XYZ0289,XYZ2960
XYZ4079,XYZ4502,XYZ3973,XYZ4866,XYZ1766
XYZ1888,XYZ0991,XYZ2678,XYZ2376,XYZ4733
XYZ0406,XYZ3262,XYZ1019,XYZ0891,XYZ1432
XYZ4338,XYZ4003,XYZ1486,XYZ3572,XYZ4136
XYZ2483,XYZ0391,XYZ2189,XYZ4232,XYZ3047
XYZ3831,XYZ3690,XYZ0960,XYZ0262,XYZ0999
XYZ4829,XYZ1702,XYZ2259,XYZ2888,XYZ0290
XYZ4017,XYZ2669,XYZ2024,XYZ3693,XYZ0605
XYZ3134,XYZ1385,XYZ2910,XYZ2612,XYZ4828
XYZ1287,XYZ1073,XYZ4828,XYZ0102,XYZ0655
XYZ0635,XYZ2469,XYZ3324,XYZ0569,XYZ2488
XYZ4203,XYZ1173,XYZ2586,XYZ1705,XYZ1023
XYZ3300,XYZ2841,XYZ4385,XYZ2572,XYZ0421
XYZ0403,XYZ2900,XYZ2921,XYZ3964,XYZ0164
XYZ3608,XYZ4320,XYZ2657,XYZ1106,XYZ0380
XYZ1052,XYZ4967,XYZ2522,XYZ4681,XYZ3957
XYZ0277,XYZ1785,XYZ2595,XYZ0671,XYZ0318
XYZ4611,XYZ2371,XYZ3112,XYZ0798,XYZ4481
