CSE,ECE,CIVIL,MECH,AGRI
XYZ0474,XYZ0795,,XYZ0098,XYZ1085
XYZ1746,XYZ2020,,XYZ1924,XYZ2807
XYZ0799,XYZ4440,,XYZ4190,XYZ4359
XYZ2691,XYZ4297,,XYZ4835,XYZ0805
XYZ0693,XYZ1932,,XYZ3937,XYZ2466
XYZ0996,XYZ3580,,XYZ0408,XYZ2082
XYZ1850,XYZ1794,,XYZ2456,XYZ4115
XYZ4889,XYZ4804,,XYZ3154,XYZ1282
XYZ4071,XYZ0912,,XYZ0212,XYZ0797
XYZ1413,XYZ4429,,XYZ2519,XYZ4521
XYZ4071,XYZ2977,,XYZ3869,XYZ2366
XYZ3723,XYZ4732,,XYZ0557,XYZ4461
XYZ4605,XYZ3322,,XYZ2659,XYZ3549
XYZ1956,XYZ2845,,XYZ1497,XYZ1975
XYZ1259,XYZ0281,,XYZ0283,XYZ3645
XYZ0823,XYZ0772,,XYZ3028,XYZ2209
XYZ0456,XYZ3485,,XYZ4956,XYZ0983
XYZ0680,XYZ2342,,XYZ0501,XYZ2226
XYZ2569,XYZ4617,,XYZ0708,XYZ1705
XYZ2214,XYZ1073,,XYZ3912,XYZ1282
XYZ2396,XYZ1658,,XYZ2790,XYZ4206
XYZ4458,XYZ0500,,XYZ2659,XYZ2978
XYZ0916,XYZ1325,,XYZ1081,XYZ1438
XYZ2564,XYZ2978,,XYZ4672,XYZ2653
XYZ1848,XYZ0294,,XYZ2331,XYZ4874
XYZ4752,XYZ3782,,XYZ3124,XYZ3067
XYZ0098,XYZ0916,,XYZ0615,XYZ2650
XYZ0480,XYZ4673,,XYZ2544,XYZ1604
XYZ1049,XYZ0645,,XYZ4482,XYZ3738
XYZ4407,XYZ4774,,XYZ0638,XYZ4705
XYZ1500,XYZ2659,,XYZ1648,XYZ0249
XYZ2928,XYZ0828,,XYZ0165,XYZ2373
XYZ4285,XYZ0663,,XYZ3903,XYZ3472
XYZ4684,XYZ1930,,XYZ4573,XYZ2337
XYZ2403,XYZ1745,,XYZ4483,XYZ3514
XYZ1207,XYZ2350,,XYZ4819,XYZ3397
XYZ1433,XYZ4151,,XYZ3878,XYZ0040
XYZ3873,XYZ1748,,XYZ0784,XYZ4548
XYZ4048,XYZ1000,,XYZ4548,XYZ0868
XYZ0881,XYZ2627,,XYZ4636,XYZ1217
XYZ1410,XYZ2085,,XYZ3359,XYZ1866
XYZ4146,XYZ4776,,XYZ3241,XYZ3409
XYZ4305,XYZ1866,,XYZ1312,XYZ2052
XYZ2756,XYZ2609,,XYZ2018,XYZ1998
XYZ4586,XYZ3990,,XYZ0935,XYZ0550
XYZ1926,XYZ4233,,XYZ1211,XYZ3850
XYZ0422,XYZ2214,,XYZ4728,XYZ0257
XYZ2314,XYZ1082,,XYZ2240,XYZ1689
XYZ2899,XYZ0962,,XYZ4838,XYZ3230
XYZ1929,XYZ2782,,XYZ0875,XYZ0092
XYZ1487,XYZ1492,,XYZ3325,XYZ1817
XYZ0332,XYZ0923,,XYZ3260,XYZ4142
XYZ3090,XYZ4304,,XYZ2975,XYZ1803
XYZ2009,XYZ0762,,XYZ3830,XYZ1075
XYZ4965,XYZ1398,,XYZ4724,XYZ4386
XYZ0633,XYZ1228,,XYZ1919,XYZ4824
XYZ4011,XYZ1365,,XYZ2851,XYZ1381
XYZ0738,XYZ0787,,XYZ2582,XYZ0535
XYZ1534,XYZ0842,,XYZ3822,XYZ3110
XYZ3313,XYZ3297,,XYZ4250,XYZ2791
XYZ0330,XYZ3231,,XYZ4322,XYZ2196
XYZ2500,XYZ1389,,XYZ2663,XYZ3948
XYZ2584,XYZ0915,,XYZ1576,XYZ2259
XYZ1947,XYZ4068,,XYZ4675,XYZ4152
XYZ0460,XYZ0637,,XYZ0512,XYZ3541
XYZ2434,XYZ2323,,XYZ0997,
XYZ0935,XYZ1366,,XYZ3130,
XYZ1857,XYZ4242,,XYZ3300,
XYZ3907,XYZ3585,,XYZ1459,
XYZ1459,XYZ1597,,XYZ1984,
XYZ3249,XYZ0961,,,
XYZ4226,XYZ0251,,,
XYZ0601,XYZ2131,,,
XYZ3729,XYZ4716,,,
XYZ3752,XYZ3779,,,
XYZ3450,,,,
XYZ1185,,,,
XYZ3101,,,,
XYZ3350,,,,
XYZ1602,,,,
XYZ0255,,,,
XYZ3750,,,,
XYZ0482,,,,
XYZ0296,,,,
XYZ2399,,,,
XYZ3076,,,,
XYZ2451,,,,
XYZ3034,,,,
XYZ4266,,,,
XYZ1644,,,,
XYZ1484,,,,
XYZ2541,,,,
XYZ2472,,,,
XYZ3581,,,,
XYZ4609,,,,
XYZ0587,,,,
XYZ3483,,,,
XYZ4726,,,,
XYZ2159,,,,
XYZ2951,,,,
XYZ4356,,,,
XYZ4987,,,,
XYZ1116,,,,
XYZ4842,,,,
XYZ0765,,,,
XYZ2072,,,,
XYZ4882,,,,
XYZ1798,,,,
XYZ1082,,,,
XYZ4339,,,,
XYZ4934,,,,
XYZ0357,,,,
XYZ1682,,,,
XYZ4609,,,,
XYZ0246,,,,
XYZ1304,,,,
