CSE,ECE,CIVIL,MECH,AGRI
XYZ0077,XYZ3466,XYZ0031,XYZ4210,XYZ2310
XYZ0084,XYZ4074,XYZ2038,XYZ0304,XYZ3776
XYZ1399,XYZ2051,XYZ3004,XYZ4720,XYZ3395
XYZ2120,XYZ2432,XYZ3840,XYZ0535,XYZ1608
XYZ1164,XYZ4574,XYZ1399,XYZ2172,XYZ1564
XYZ3470,XYZ0153,XYZ0582,XYZ1933,XYZ0687
XYZ3507,XYZ4422,XYZ3821,XYZ4900,XYZ2020
XYZ1491,XYZ4671,XYZ4245,XYZ2985,XYZ0957
XYZ2045,XYZ2137,XYZ2823,XYZ3557,XYZ0698
XYZ1641,XYZ0199,XYZ1574,XYZ0669,XYZ0155
XYZ3637,XYZ4520,XYZ1437,XYZ1058,XYZ0072
XYZ1150,XYZ3925,XYZ3787,XYZ2674,XYZ0878
XYZ4585,XYZ4456,XYZ0295,XYZ1979,XYZ1506
XYZ0511,XYZ1938,XYZ3440,XYZ4489,XYZ3936
XYZ2890,XYZ2784,XYZ1591,XYZ4343,XYZ2242
XYZ2030,XYZ3687,XYZ3771,XYZ2327,XYZ2327
XYZ4959,XYZ1774,XYZ0409,XYZ4910,XYZ0748
XYZ0004,XYZ0015,XYZ4603,XYZ1210,XYZ0775
XYZ1213,XYZ4652,XYZ2170,XYZ3862,XYZ4554
XYZ0764,XYZ4372,XYZ4165,XYZ0227,XYZ3128
XYZ4447,XYZ2142,XYZ2829,XYZ2586,XYZ1162
XYZ1411,XYZ2050,XYZ2134,XYZ3346,XYZ0631
XYZ0595,XYZ3597,XYZ4954,XYZ1545,XYZ4010
XYZ2237,XYZ2570,XYZ0087,XYZ2313,XYZ1870
XYZ2814,XYZ1316,XYZ4568,XYZ0792,XYZ0183
XYZ0023,XYZ3295,XYZ2164,XYZ4346,XYZ3648
XYZ2608,XYZ2144,XYZ4484,XYZ2288,XYZ1745
XYZ1206,XYZ2761,XYZ0994,XYZ0916,XYZ4449
XYZ4830,XYZ1993,XYZ0719,XYZ3816,XYZ1357
XYZ2355,XYZ0022,XYZ2624,XYZ1084,XYZ3665
XYZ1926,XYZ3286,XYZ2204,XYZ4034,XYZ2715
XYZ3587,XYZ0567,XYZ3005,XYZ0316,XYZ4442
XYZ1894,XYZ2378,XYZ1737,XYZ4645,XYZ4173
XYZ2871,XYZ4940,XYZ1185,XYZ4531,XYZ2471
XYZ1432,XYZ3847,XYZ2953,XYZ1790,XYZ2985
XYZ0788,XYZ2528,XYZ3382,XYZ4690,XYZ1651
XYZ3249,XYZ0484,XYZ2037,XYZ1073,XYZ3232
XYZ3635,XYZ2294,XYZ0483,XYZ3937,XYZ3696
XYZ3347,XYZ0346,XYZ1772,XYZ4967,XYZ3309
XYZ3801,XYZ0022,XYZ2746,XYZ0875,XYZ2661
XYZ2006,XYZ3728,XYZ4417,XYZ2759,XYZ2970
XYZ4597,XYZ1137,XYZ1911,XYZ4080,XYZ0314
XYZ2621,XYZ4557,XYZ2284,XYZ2591,XYZ1421
XYZ3050,XYZ1757,XYZ0112,XYZ2156,XYZ0208
XYZ3798,XYZ1674,XYZ4542,XYZ0818,XYZ3414
XYZ2581,XYZ4100,XYZ1687,XYZ2230,XYZ3098
XYZ0180,XYZ2828,XYZ2588,XYZ3074,XYZ2550
XYZ0617,XYZ4968,XYZ4265,XYZ0241,XYZ3230
XYZ2578,XYZ3238,XYZ4093,XYZ1333,XYZ1348
XYZ2061,XYZ2011,XYZ0217,XYZ1031,XYZ2943
XYZ2370,XYZ1512,XYZ3708,XYZ4318,XYZ1108
XYZ0472,XYZ1565,XYZ1293,XYZ0760,XYZ1165
XYZ4693,XYZ2190,XYZ1799,XYZ2648,XYZ3808
XYZ2307,XYZ1962,XYZ1083,XYZ4676,XYZ1498
XYZ2903,XYZ0297,XYZ0514,XYZ0914,XYZ2907
XYZ0149,XYZ2622,XYZ1177,XYZ3149,XYZ2461
XYZ3654,XYZ0033,XYZ0509,XYZ0664,XYZ3011
XYZ1615,XYZ2437,XYZ1436,XYZ2003,XYZ1406
XYZ1689,XYZ1877,XYZ3188,XYZ0598,XYZ3843
